Zipcode,Type,City,County,State
98801,Standard,Wenatchee,Chelan County,WA
98802,Standard,East Wenatchee,Douglas County,WA
98807,Po Box,Wenatchee,Chelan County,WA
98811,Po Box,Ardenvoir,Chelan County,WA
98812,Standard,Brewster,Okanogan County,WA
98813,Standard,Bridgeport,Douglas County,WA
98814,Standard,Carlton,Okanogan County,WA
98815,Standard,Cashmere,Chelan County,WA
98816,Standard,Chelan,Chelan County,WA
98817,Po Box,Chelan Falls,Chelan County,WA
98819,Po Box,Conconully,Okanogan County,WA
98821,Po Box,Dryden,Chelan County,WA
98822,Standard,Entiat,Chelan County,WA
98823,Standard,Ephrata,Grant County,WA
98824,Po Box,George,Grant County,WA
98826,Standard,Leavenworth,Chelan County,WA
98827,Standard,Loomis,Okanogan County,WA
98828,Standard,Malaga,Chelan County,WA
98829,Po Box,Malott,Okanogan County,WA
98830,Standard,Mansfield,Douglas County,WA
98831,Standard,Manson,Chelan County,WA
98832,Standard,Marlin,Grant County,WA
98833,Standard,Mazama,Okanogan County,WA
98834,Standard,Methow,Okanogan County,WA
98836,Po Box,Monitor,Chelan County,WA
98837,Standard,Moses Lake,Grant County,WA
98840,Standard,Okanogan,Okanogan County,WA
98841,Standard,Omak,Okanogan County,WA
98843,Standard,Orondo,Douglas County,WA
98844,Standard,Oroville,Okanogan County,WA
98845,Standard,Palisades,Douglas County,WA
98846,Standard,Pateros,Okanogan County,WA
98847,Standard,Peshastin,Chelan County,WA
98848,Standard,Quincy,Grant County,WA
98849,Standard,Riverside,Okanogan County,WA
98850,Standard,Rock Island,Douglas County,WA
98851,Standard,Soap Lake,Grant County,WA
98852,Po Box,Stehekin,Chelan County,WA
98853,Po Box,Stratford,Grant County,WA
98855,Standard,Tonasket,Okanogan County,WA
98856,Standard,Twisp,Okanogan County,WA
98857,Standard,Warden,Grant County,WA
98858,Standard,Waterville,Douglas County,WA
98859,Standard,Wauconda,Okanogan County,WA
98860,Po Box,Wilson Creek,Grant County,WA
98862,Standard,Winthrop,Okanogan County,WA
98901,Standard,Yakima,Yakima County,WA
98902,Standard,Yakima,Yakima County,WA
98903,Standard,Yakima,Yakima County,WA
98904,Po Box,Yakima,Yakima County,WA
98907,Po Box,Yakima,Yakima County,WA
98908,Standard,Yakima,Yakima County,WA
98909,Po Box,Yakima,Yakima County,WA
98920,Po Box,Brownstown,Yakima County,WA
98921,Po Box,Buena,Yakima County,WA
98922,Standard,Cle Elum,Kittitas County,WA
98923,Standard,Cowiche,Yakima County,WA
98925,Po Box,Easton,Kittitas County,WA
98926,Standard,Ellensburg,Kittitas County,WA
98929,Standard,Naches,Yakima County,WA
98930,Standard,Grandview,Yakima County,WA
98932,Standard,Granger,Yakima County,WA
98933,Standard,Harrah,Yakima County,WA
98934,Po Box,Kittitas,Kittitas County,WA
98935,Standard,Mabton,Yakima County,WA
98936,Standard,Moxee,Yakima County,WA
98937,Standard,Naches,Yakima County,WA
98938,Standard,Outlook,Yakima County,WA
98939,Po Box,Parker,Yakima County,WA
98940,Po Box,Ronald,Kittitas County,WA
98941,Po Box,Roslyn,Kittitas County,WA
98942,Standard,Selah,Yakima County,WA
98943,Po Box,South Cle Elum,Kittitas County,WA
98944,Standard,Sunnyside,Yakima County,WA
98946,Standard,Thorp,Kittitas County,WA
98947,Standard,Tieton,Yakima County,WA
98948,Standard,Toppenish,Yakima County,WA
98950,Po Box,Vantage,Kittitas County,WA
98951,Standard,Wapato,Yakima County,WA
98952,Standard,White Swan,Yakima County,WA
98953,Standard,Zillah,Yakima County,WA
99001,Standard,Airway Heights,Spokane County,WA
99003,Standard,Chattaroy,Spokane County,WA
99004,Standard,Cheney,Spokane County,WA
99005,Standard,Colbert,Spokane County,WA
99006,Standard,Deer Park,Spokane County,WA
99008,Standard,Edwall,Lincoln County,WA
99009,Standard,Elk,Spokane County,WA
99011,Standard,Fairchild Air Force Base,Spokane County,WA
99012,Standard,Fairfield,Spokane County,WA
99013,Standard,Ford,Stevens County,WA
99014,Po Box,Four Lakes,Spokane County,WA
99016,Standard,Greenacres,Spokane County,WA
99017,Standard,Lamont,Whitman County,WA
99018,Standard,Latah,Spokane County,WA
99019,Standard,Liberty Lake,Spokane County,WA
99020,Po Box,Marshall,Spokane County,WA
99021,Standard,Mead,Spokane County,WA
99022,Standard,Medical Lake,Spokane County,WA
99023,Standard,Mica,Spokane County,WA
99025,Standard,Newman Lake,Spokane County,WA
99026,Standard,Nine Mile Falls,Stevens County,WA
99027,Standard,Otis Orchards,Spokane County,WA
99029,Standard,Reardan,Lincoln County,WA
99030,Standard,Rockford,Spokane County,WA
99031,Standard,Spangle,Spokane County,WA
99032,Standard,Sprague,Lincoln County,WA
99033,Standard,Tekoa,Whitman County,WA
99034,Standard,Tumtum,Stevens County,WA
99036,Standard,Valleyford,Spokane County,WA
99037,Standard,Veradale,Spokane County,WA
99039,Po Box,Waverly,Spokane County,WA
99040,Standard,Wellpinit,Stevens County,WA
99101,Standard,Addy,Stevens County,WA
99102,Po Box,Albion,Whitman County,WA
99103,Standard,Almira,Lincoln County,WA
99104,Standard,Belmont,Whitman County,WA
99105,Standard,Benge,Adams County,WA
99107,Standard,Boyds,Ferry County,WA
99109,Standard,Chewelah,Stevens County,WA
99110,Standard,Clayton,Stevens County,WA
99111,Standard,Colfax,Whitman County,WA
99113,Standard,Colton,Whitman County,WA
99114,Standard,Colville,Stevens County,WA
99115,Standard,Coulee City,Grant County,WA
99116,Standard,Coulee Dam,Okanogan County,WA
99117,Standard,Creston,Lincoln County,WA
99118,Standard,Curlew,Ferry County,WA
99119,Standard,Cusick,Pend Oreille County,WA
99121,Standard,Danville,Ferry County,WA
99122,Standard,Davenport,Lincoln County,WA
99123,Standard,Electric City,Grant County,WA
99124,Po Box,Elmer City,Okanogan County,WA
99125,Standard,Endicott,Whitman County,WA
99126,Standard,Evans,Stevens County,WA
99128,Standard,Farmington,Whitman County,WA
99129,Standard,Fruitland,Stevens County,WA
99130,Standard,Garfield,Whitman County,WA
99131,Standard,Gifford,Stevens County,WA
99133,Standard,Grand Coulee,Grant County,WA
99134,Standard,Harrington,Lincoln County,WA
99135,Standard,Hartline,Grant County,WA
99136,Standard,Hay,Whitman County,WA
99137,Standard,Hunters,Stevens County,WA
99138,Standard,Inchelium,Ferry County,WA
99139,Standard,Ione,Pend Oreille County,WA
99140,Standard,Keller,Ferry County,WA
99141,Standard,Kettle Falls,Stevens County,WA
99143,Standard,Lacrosse,Whitman County,WA
99144,Standard,Lamona,Lincoln County,WA
99146,Po Box,Laurier,Ferry County,WA
99147,Standard,Lincoln,Lincoln County,WA
99148,Standard,Loon Lake,Stevens County,WA
99149,Po Box,Malden,Whitman County,WA
99150,Standard,Malo,Ferry County,WA
99151,Po Box,Marcus,Stevens County,WA
99152,Po Box,Metaline,Pend Oreille County,WA
99153,Standard,Metaline Falls,Pend Oreille County,WA
99154,Standard,Mohler,Lincoln County,WA
99155,Po Box,Nespelem,Okanogan County,WA
99156,Standard,Newport,Pend Oreille County,WA
99157,Standard,Northport,Stevens County,WA
99158,Standard,Oakesdale,Whitman County,WA
